,S. No,Category,State/UT,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities (Total),Terrorist Activities - Terrorist Recruitment,Terrorist Activities - Terrorist Funding,Terrorist Activities - Others,Inciting Hate against Country,Disrupt Public Service,Sale purchase Illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total,Year
26,27,State,Uttar Pradesh,41,208,3450,419,366,192,117,23,9,0,0,9,51,3,0,35,12,1,0,0,44,4971,2017
27,28,State,Uttarakhand,0,3,54,17,23,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,124,2017
28,29,State,West Bengal,8,3,45,7,15,17,81,9,0,0,0,0,4,0,0,0,0,0,0,0,379,568,2017
29,30,Union Territory,A&N Islands,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2017
30,31,Union Territory,Chandigarh,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,2017
31,32,Union Territory,D&N Haveli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017
32,33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
33,34,Union Territory,Delhi,8,2,50,10,4,7,33,0,0,0,0,0,0,3,0,10,2,0,0,0,33,162,2017
34,35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
35,36,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2017
37,1,State,Andhra Pradesh,34,26,733,45,7,0,92,12,1,0,0,1,1,1,0,2,14,2,0,1,236,1207,2018
38,2,State,Arunachal Pradesh,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2018
39,3,State,Assam,239,46,389,153,234,0,113,9,4,1,0,3,3,0,0,0,0,0,0,0,832,2022,2018
40,4,State,Bihar,5,8,351,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,2018
41,5,State,Chhattisgarh,0,1,23,2,25,0,21,4,0,0,0,0,1,0,0,1,0,0,0,0,61,139,2018
42,6,State,Goa,0,0,11,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,2018
43,7,State,Gujarat,17,32,401,24,154,16,23,0,0,0,0,0,17,0,0,1,0,0,3,0,14,702,2018
44,8,State,Haryana,6,9,137,21,11,2,75,0,12,0,0,12,2,0,0,2,0,0,0,0,141,418,2018
45,9,State,Himachal Pradesh,4,1,18,1,3,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,22,69,2018
46,10,State,Jammu & Kashmir,2,0,20,7,7,3,10,3,1,1,0,0,2,3,0,0,1,0,0,0,14,73,2018
47,11,State,Jharkhand,16,6,783,44,16,0,16,1,16,0,0,16,0,0,0,32,0,0,0,0,0,930,2018
48,12,State,Karnataka,27,10,5441,97,49,1,85,22,1,0,0,1,3,3,0,5,5,1,1,0,88,5839,2018
49,13,State,Kerala,69,18,93,8,48,3,50,18,3,0,0,3,0,0,0,6,0,0,0,0,24,340,2018
50,14,State,Madhya Pradesh,93,10,230,19,109,2,49,1,3,0,0,3,29,1,0,4,20,0,0,1,169,740,2018
51,15,State,Maharashtra,99,129,1998,31,64,18,724,20,0,0,0,0,33,2,2,13,6,0,3,0,369,3511,2018
52,16,State,Manipur,0,0,14,3,0,0,9,0,1,0,0,1,1,0,0,0,0,0,0,0,1,29,2018
53,17,State,Meghalaya,0,0,35,0,3,0,3,3,0,0,0,0,11,0,2,0,6,0,0,0,11,74,2018
54,18,State,Mizoram,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,2018
55,19,State,Nagaland,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018
56,20,State,Odisha,7,0,506,224,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,69,843,2018
57,21,State,Punjab,14,7,48,15,19,4,85,2,0,0,0,0,3,0,2,2,0,0,0,0,38,239,2018
58,22,State,Rajasthan,9,11,499,31,66,14,60,3,0,0,0,0,9,0,0,17,2,0,0,0,383,1104,2018
59,23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2018
60,24,State,Tamil Nadu,39,13,55,7,17,6,36,52,2,0,0,2,39,1,0,3,1,0,4,0,20,295,2018
61,25,State,Telangana,19,3,732,51,3,2,77,14,0,0,0,0,3,0,0,0,0,0,0,0,301,1205,2018
62,26,State,Tripura,5,0,8,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2018
63,27,State,Uttar Pradesh,47,73,2351,199,343,191,343,45,0,0,0,0,59,9,0,75,614,0,0,0,1931,6280,2018
64,28,State,Uttarakhand,3,41,46,16,12,22,13,0,0,0,0,0,0,0,0,0,0,0,5,0,13,171,2018
65,29,State,West Bengal,28,9,68,25,2,3,39,1,0,0,0,0,2,0,0,0,0,0,0,0,158,335,2018
66,30,Union Territory,A&N Islands,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2018
67,31,Union Territory,Chandigarh,0,0,19,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2018
68,32,Union Territory,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
69,33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
70,34,Union Territory,Delhi,11,4,36,11,4,1,35,0,0,0,0,0,0,0,0,35,2,0,0,0,50,189,2018
71,35,Union Territory,Lakshadweep,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2018
72,36,Union Territory,Puducherry,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2018
74,1,State,Andhra Pradesh,16,17,1211,28,4,5,84,88,0,0,0,0,0,0,0,9,4,0,2,0,418,1886,2019
75,2,State,Arunachal Pradesh,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,2019
76,3,State,Assam,555,263,243,518,33,14,289,16,54,0,0,54,3,3,0,0,0,0,0,0,240,2231,2019
77,4,State,Bihar,27,7,844,109,0,5,8,0,0,0,0,0,0,0,2,46,0,0,0,0,2,1050,2019
78,5,State,Chhattisgarh,2,1,47,2,25,0,30,5,0,0,0,0,1,1,0,0,0,0,0,0,61,175,2019
79,6,State,Goa,2,1,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2019
80,7,State,Gujarat,5,20,363,17,308,10,32,1,0,0,0,0,0,4,0,0,0,0,0,0,24,784,2019
81,8,State,Haryana,2,3,151,16,1,8,57,1,0,0,0,0,0,0,0,3,4,0,0,0,318,564,2019
82,9,State,Himachal Pradesh,7,3,15,7,6,1,22,1,4,0,0,4,0,0,0,0,1,0,0,0,9,76,2019
83,10,State,Jammu & Kashmir,5,0,27,4,1,0,5,2,1,1,0,0,2,0,0,0,0,0,0,0,26,73,2019
84,11,State,Jharkhand,8,0,964,4,0,0,15,0,7,7,0,0,0,0,8,4,0,0,82,0,3,1095,2019
85,12,State,Karnataka,12,4,11381,43,109,1,90,9,3,0,0,3,0,0,0,16,2,0,0,0,350,12020,2019
86,13,State,Kerala,68,25,67,6,28,6,70,16,0,0,0,0,0,0,0,2,7,0,0,0,12,307,2019
87,14,State,Madhya Pradesh,2,2,178,21,113,2,40,2,0,0,0,0,1,0,0,1,0,1,1,0,238,602,2019
88,15,State,Maharashtra,48,45,3551,35,87,10,557,12,21,0,0,21,0,0,0,12,1,0,7,0,581,4967,2019
89,16,State,Manipur,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2019
90,17,State,Meghalaya,4,7,50,7,2,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,11,89,2019
91,18,State,Mizoram,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2019
92,19,State,Nagaland,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2019
93,20,State,Odisha,24,0,1000,279,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1485,2019
94,21,State,Punjab,4,8,81,23,21,5,65,4,0,0,0,0,1,1,0,3,0,0,1,0,26,243,2019
95,22,State,Rajasthan,17,45,938,59,90,6,103,9,0,0,0,0,3,0,0,12,2,0,0,0,478,1762,2019
96,23,State,Sikkim,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019
97,24,State,Tamil Nadu,39,22,73,21,80,4,65,50,0,0,0,0,3,6,0,2,3,0,0,0,17,385,2019
98,25,State,Telangana,11,4,2013,49,1,6,78,6,2,0,0,2,2,1,0,10,0,0,0,0,508,2691,2019
99,26,State,Tripura,1,1,2,3,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,20,2019
100,27,State,Uttar Pradesh,301,81,3549,544,953,1293,430,90,106,0,0,106,31,11,0,61,18,0,0,0,3948,11416,2019
101,28,State,Uttarakhand,4,8,28,5,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,100,2019
102,29,State,West Bengal,28,9,68,25,2,3,39,1,0,0,0,0,2,0,0,0,0,0,0,0,158,335,2019
103,30,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2019
104,31,Union Territory,Chandigarh,4,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,2019
105,32,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
106,33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2019
107,34,Union Territory,Delhi,4,0,31,15,0,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,42,115,2019
108,35,Union Territory,Lakshadweep,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2019
109,36,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,2019
